group,name,path,shape,N_images,total,bad,bad_pct,mean,std,min,max,p01,p99,final_loss,final_loss_main,final_loss_cons,epochs_logged
REAL_RAW_0_255,adhd,synthetic_npy\adhd_40.npy,"(40, 128, 128)",40,655360,0,0.0,68.69426203621579,54.806719950578476,0.0,255.0,11.394818000793457,228.83698135375982,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
REAL_TRAIN_SCALE_-1_1,adhd,synthetic_npy\adhd_40.npy,"(40, 128, 128)",40,655360,0,0.0,0.06929523366786286,0.1930892489288962,-0.17272111773490906,0.7256678938865662,-0.13257610708475112,0.6334931439161302,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
REAL_RAW_0_255,bd,synthetic_npy\bd_49_clean.npy,"(49, 128, 128)",49,802816,0,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
REAL_TRAIN_SCALE_-1_1,bd,synthetic_npy\bd_49_clean.npy,"(49, 128, 128)",49,802816,0,0.0,-0.17272111773490906,1e-08,-0.17272111773490906,-0.17272111773490906,-0.17272111773490906,-0.17272111773490906,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
REAL_RAW_0_255,health,synthetic_npy\health_121.npy,"(121, 128, 128)",121,1982464,0,0.0,59.1283458864208,58.78895800657328,0.0,255.0,6.185542817115784,235.11448883056636,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
REAL_TRAIN_SCALE_-1_1,health,synthetic_npy\health_121.npy,"(121, 128, 128)",121,1982464,0,0.0,0.035593609674724226,0.20711904888444055,-0.17272111773490906,0.7256678938865662,-0.1509288714826107,0.6556093931198119,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
REAL_RAW_0_255,schz,synthetic_npy\schz_27.npy,"(27, 128, 128)",27,442368,0,0.0,63.58225898874889,52.3886958138597,0.0,255.0,11.226109714508057,225.83464340209963,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
REAL_TRAIN_SCALE_-1_1,schz,synthetic_npy\schz_27.npy,"(27, 128, 128)",27,442368,0,0.0,0.05128516522992478,0.18457032209472893,-0.17272111773490906,0.7256678938865662,-0.13317047864198683,0.6229156178236008,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
GENERATED_-1_1,sample_epoch_1.npy,runs_patch260106\sample_epoch_1.npy,"(128, 128)",1,16384,0,0.0,0.29420192772307985,0.8285833919037447,-1.0,1.0,-1.0,1.0,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
GENERATED_-1_1,sample_epoch_10.npy,runs_patch260106\sample_epoch_10.npy,"(128, 128)",1,16384,0,0.0,0.9678481380883568,0.17871332678384147,-0.9999995827674866,1.0,0.0,1.0,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
GENERATED_-1_1,sample_epoch_2.npy,runs_patch260106\sample_epoch_2.npy,"(128, 128)",1,16384,0,0.0,-0.9305826797605619,0.29458393634051155,-1.0,1.0,-1.0,0.8236727118492126,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
GENERATED_-1_1,sample_epoch_3.npy,runs_patch260106\sample_epoch_3.npy,"(128, 128)",1,16384,0,0.0,0.8367816034455586,0.4876843823573527,-1.0,1.0,-0.9999999403953552,1.0,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
GENERATED_-1_1,sample_epoch_4.npy,runs_patch260106\sample_epoch_4.npy,"(128, 128)",1,16384,0,0.0,-0.49600299069880194,0.7427598081089369,-1.0,1.0,-1.0,1.0,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
GENERATED_-1_1,sample_epoch_5.npy,runs_patch260106\sample_epoch_5.npy,"(128, 128)",1,16384,0,0.0,-0.765814917672742,0.5497722072942881,-1.0,1.0,-1.0,1.0,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
GENERATED_-1_1,sample_epoch_6.npy,runs_patch260106\sample_epoch_6.npy,"(128, 128)",1,16384,0,0.0,0.6218332212024507,0.6875064327473889,-1.0,1.0,-1.0,1.0,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
GENERATED_-1_1,sample_epoch_7.npy,runs_patch260106\sample_epoch_7.npy,"(128, 128)",1,16384,0,0.0,-0.9648721337769075,0.1910588394818383,-1.0,0.9999999403953552,-1.0,0.0,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
GENERATED_-1_1,sample_epoch_8.npy,runs_patch260106\sample_epoch_8.npy,"(128, 128)",1,16384,0,0.0,0.9689929752348689,0.1733332859169317,0.0,1.0,0.0,1.0,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
GENERATED_-1_1,sample_epoch_9.npy,runs_patch260106\sample_epoch_9.npy,"(128, 128)",1,16384,0,0.0,-0.11961780389208343,0.8547154531484151,-1.0,1.0,-1.0,1.0,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
GENERATED_-1_1,sample_final.npy,runs_patch260106\sample_final.npy,"(128, 128)",1,16384,0,0.0,0.9653426801362457,0.1900435401502781,-1.0,1.0,0.0,1.0,0.06488943683617653,0.02033116182922649,0.22279137121702336,10
