group,name,path,shape,N_images,total,bad,bad_pct,mean,std,min,max,p01,p99,final_loss,final_loss_main,final_loss_cons,epochs_logged
REAL_RAW_0_255,adhd,synthetic_npy\adhd_40.npy,"(40, 128, 128)",40,655360,0,0.0,68.69426203621579,54.806719950578476,0.0,255.0,11.394818000793457,228.83698135375982,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
REAL_TRAIN_SCALE_-1_1,adhd,synthetic_npy\adhd_40.npy,"(40, 128, 128)",40,655360,0,0.0,0.02409048042289276,0.19160191807014304,-0.21606166660785675,0.6754072308540344,-0.17622587874531745,0.5839424669742586,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
REAL_RAW_0_255,bd,synthetic_npy\bd_49.npy,"(49, 128, 128)",49,802816,802816,100.0,,,,,,,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
REAL_TRAIN_SCALE_-1_1,bd,synthetic_npy\bd_49.npy,"(49, 128, 128)",49,802816,802816,100.0,,,,,,,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
REAL_RAW_0_255,health,synthetic_npy\health_121.npy,"(121, 128, 128)",121,1982464,0,0.0,59.1283458864208,58.78895800657328,0.0,255.0,6.185542817115784,235.11448883056636,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
REAL_TRAIN_SCALE_-1_1,health,synthetic_npy\health_121.npy,"(121, 128, 128)",121,1982464,0,0.0,-0.009351546187109358,0.20552364905325252,-0.21606166660785675,0.6754072308540344,-0.19443728193640708,0.6058883905410766,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
REAL_RAW_0_255,schz,synthetic_npy\schz_27.npy,"(27, 128, 128)",27,442368,0,0.0,63.58225898874889,52.3886958138597,0.0,255.0,11.226109714508057,225.83464340209963,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
REAL_TRAIN_SCALE_-1_1,schz,synthetic_npy\schz_27.npy,"(27, 128, 128)",27,442368,0,0.0,0.0062191402113238765,0.18314861091883236,-0.21606166660785675,0.6754072308540344,-0.17681567683815957,0.5734464251995087,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
GENERATED_-1_1,sample_epoch_1.npy,runs_proposal_patchddpm\sample_epoch_1.npy,"(128, 128)",1,16384,0,0.0,0.009190990822908973,0.14923136027883732,-0.5471989512443542,0.6029683351516724,-0.3327049171924591,0.3843515181541443,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
GENERATED_-1_1,sample_epoch_10.npy,runs_proposal_patchddpm\sample_epoch_10.npy,"(128, 128)",1,16384,0,0.0,-0.014280163436022314,0.22491614125013767,-0.7653043270111084,0.7584027647972107,-0.5428222113847733,0.5076761096715927,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
GENERATED_-1_1,sample_epoch_2.npy,runs_proposal_patchddpm\sample_epoch_2.npy,"(128, 128)",1,16384,0,0.0,0.00635660919762121,0.1602759172196621,-0.5880421996116638,0.6800158023834229,-0.37039295107126236,0.3926752129197121,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
GENERATED_-1_1,sample_epoch_3.npy,runs_proposal_patchddpm\sample_epoch_3.npy,"(128, 128)",1,16384,0,0.0,0.0017327611095864226,0.17764726793796085,-0.6900667548179626,0.6916419267654419,-0.4205706325173378,0.4274725842475891,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
GENERATED_-1_1,sample_epoch_4.npy,runs_proposal_patchddpm\sample_epoch_4.npy,"(128, 128)",1,16384,0,0.0,-0.006754260460220596,0.18084652201846324,-0.717664897441864,0.6535309553146362,-0.4286334812641144,0.4196507471799851,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
GENERATED_-1_1,sample_epoch_5.npy,runs_proposal_patchddpm\sample_epoch_5.npy,"(128, 128)",1,16384,0,0.0,-0.0037942559475200865,0.19639230058452184,-0.6955602169036865,0.6947044730186462,-0.46089591562747956,0.45869614332914355,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
GENERATED_-1_1,sample_epoch_6.npy,runs_proposal_patchddpm\sample_epoch_6.npy,"(128, 128)",1,16384,0,0.0,-0.02039261829790434,0.19984498848917628,-0.7149627208709717,0.6697726249694824,-0.48636386036872864,0.44162428826093675,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
GENERATED_-1_1,sample_epoch_7.npy,runs_proposal_patchddpm\sample_epoch_7.npy,"(128, 128)",1,16384,0,0.0,-0.01570751383638691,0.19984879060833297,-0.6980895400047302,0.6634411811828613,-0.47528538465499875,0.45693828880786896,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
GENERATED_-1_1,sample_epoch_8.npy,runs_proposal_patchddpm\sample_epoch_8.npy,"(128, 128)",1,16384,0,0.0,-0.026118102146685973,0.20080031025910902,-0.8862403631210327,0.68965744972229,-0.4935043054819107,0.43914248526096344,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
GENERATED_-1_1,sample_epoch_9.npy,runs_proposal_patchddpm\sample_epoch_9.npy,"(128, 128)",1,16384,0,0.0,-0.013894971149047919,0.2221196791154538,-0.8228241205215454,0.7291979789733887,-0.5280145967006683,0.5025261908769608,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
GENERATED_-1_1,sample_final.npy,runs_proposal_patchddpm\sample_final.npy,"(128, 128)",1,16384,0,0.0,-0.0005175866438977827,0.21929021525894213,-0.8010004758834839,0.7292508482933044,-0.5108490830659866,0.5056951153278352,0.07443382211522524,0.019922205426888252,0.27255807962892786,10
